Issues / Notes	Dbxref	Ontology ID	parent class	Equivalence axiom	Subclass axiom	label	definition	references	definition source	alternative label	Reported	term tracker item	entity type	created	parent class ID	is about label	alt definition	is about	comment	example of usage	contributor	curation status	editor note	database cross reference	see also	Subclass ID	Subclass label	english exact synonym	english broad synonym	english narrow synonym	english related synonym																	
ORF7b	GeneID:43740574	GENEPIO:0101167	gene symbol (SARS-CoV-2)			orf7b gene (SARS-CoV-2)							Instance			orf7b gene (SARS-CoV-2)'		GENEPIO:0100177													
ORF7b	YP_009725318.1	GENEPIO:0101168	protein name (SARS-CoV-2)			open reading frame 7b protein (SARS-CoV-2)							Instance			ORF7b protein (SARS-CoV-2)		PR_P0DTD8													
ORF7b	YP_009725318.1	GENEPIO:0101169	protein symbol (SARS-CoV-2)			Orf7b protein (SARS-CoV-2)							Instance			ORF7b protein (SARS-CoV-2)		PR_P0DTD8													
ORF8	GeneID:43740577	GENEPIO:0101170	gene name (SARS-CoV-2)			open reading frame 8 gene (SARS-CoV-2)							Instance			orf8 gene (SARS-CoV-2)'		GENEPIO:0100178													
ORF8	GeneID:43740577	GENEPIO:0101171	gene symbol (SARS-CoV-2)			orf8 gene (SARS-CoV-2)							Instance			orf8 gene (SARS-CoV-2)'		GENEPIO:0100178													
ORF8	YP_009724396.1	GENEPIO:0101172	protein name (SARS-CoV-2)			open reading frame 8 protein (SARS-CoV-2)							Instance			ORF8 protein (SARS-CoV-2) 		PR_P0DTC8													
ORF8	YP_009724396.1	GENEPIO:0101173	protein symbol (SARS-CoV-2)			Orf8 protein (SARS-CoV-2)							Instance			ORF8 protein (SARS-CoV-2) 		PR_P0DTC8													
N	GeneID:43740575	GENEPIO:0101174	gene name (SARS-CoV-2)			nucleocapsid phosphoprotein gene (SARS-CoV-2)							Instance			N gene (SARS-CoV-2)'		GENEPIO:0100153													
N	GeneID:43740575	GENEPIO:0101175	gene symbol (SARS-CoV-2)			n gene (SARS-CoV-2)							Instance			N gene (SARS-CoV-2)'		GENEPIO:0100153													
N	YP_009724397.2	GENEPIO:0101176	protein name (SARS-CoV-2)			nucleocapsid phosphoprotein (SARS-CoV-2)							Instance			nucleoprotein (SARS-CoV-2)		PR_P0DTC9													
N	YP_009724397.2	GENEPIO:0101177	protein symbol (SARS-CoV-2)			N protein (SARS-CoV-2)							Instance			nucleoprotein (SARS-CoV-2)		PR_P0DTC9													
ORF10	GeneID:43740576	GENEPIO:0101178	gene name (SARS-CoV-2)			open reading frame 10 gene (SARS-CoV-2)							Instance			orf10 gene (SARS-CoV-2)'		GENEPIO:0100181													
ORF10	GeneID:43740576	GENEPIO:0101179	gene symbol (SARS-CoV-2)			orf10 gene (SARS-CoV-2)							Instance			orf10 gene (SARS-CoV-2)'		GENEPIO:0100181													
ORF10	YP_009725255.1	GENEPIO:0101180	protein name (SARS-CoV-2)			open reading frame 10 protein (SARS-CoV-2)							Instance			putative ORF10 protein (SARS-CoV-2)		PR_A0A663DJA2													
ORF10	YP_009725255.1	GENEPIO:0101181	protein symbol (SARS-CoV-2)			Orf10 protein (SARS-CoV-2)							Instance			putative ORF10 protein (SARS-CoV-2)		PR_A0A663DJA2													
