Issues / Notes	Ontology ID	parent class	Equivalence axiom	Subclass axiom	label	definition	references	definition source	alternative label	Reported	term tracker item	entity type	created	parent class ID	is about label	alt definition	is about	comment	example of usage	contributor	curation status	editor note	database cross reference	see also	Subclass ID	Subclass label	english exact synonym	english broad synonym	english narrow synonym	english related synonym	Dbxref
	GENEPIO:0101616	protein name (MPOX)			Entry/fusion complex component protein (MPOX)	A protein name that denotes the Entry/fusion complex component protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377068.1,GeneID:72551481
	GENEPIO:0101617	protein name (MPOX)			Late transcription elongation factor protein (MPOX)	A protein name that denotes the Late transcription elongation factor protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377069.1,GeneID:72551482
	GENEPIO:0101618	protein name (MPOX)			Glutaredoxin-2 protein (MPOX)	A protein name that denotes the Glutaredoxin-2 protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377070.1,GeneID:72551483
	GENEPIO:0101619	protein name (MPOX)			FEN1-like nuclease protein (MPOX)	A protein name that denotes the FEN1-like nuclease protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377071.1,GeneID:72551484
	GENEPIO:0101620	protein name (MPOX)			DNA-directed RNA polymerase 7 kDa subunit protein (MPOX)	A protein name that denotes the DNA-directed RNA polymerase 7 kDa subunit protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377072.1,GeneID:72551485
	GENEPIO:0101621	protein name (MPOX)			Nlpc/p60 superfamily protein (MPOX)	A protein name that denotes the Nlpc/p60 superfamily protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377073.1,GeneID:72551486
	GENEPIO:0101622	protein name (MPOX)			Assembly protein G7 (MPOX)	A protein name that denotes the Assembly protein G7 (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377074.1,GeneID:72551487
	GENEPIO:0101623	protein name (MPOX)			Late transcription factor VLTF-1 protein (MPOX)	A protein name that denotes the Late transcription factor VLTF-1 protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377075.1,GeneID:72551488
	GENEPIO:0101624	protein name (MPOX)			Myristylated protein (MPOX)	A protein name that denotes the Myristylated protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377076.1,GeneID:72551489
	GENEPIO:0101624	protein name (MPOX)			Myristylated protein (MPOX)	A protein name that denotes the Myristylated protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377086.1,GeneID:72551499
	GENEPIO:0101624	protein name (MPOX)			Myristylated protein (MPOX)	A protein name that denotes the Myristylated protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377125.1,GeneID:72551538
